"Test Case","Jira ID","Zephyr ID","Step","Business Step","Action","Value","Locator","Confidence","Page URL","Playwright Code","Element Context","Warning","Locator Options"
"Test 1","QPE-2615","CCM-T2286","1","Navigate to https://qa.harness.io/#/","navigate","https://qa.harness.io/#/","page","high","https://qa.harness.io/#/","await page.goto(""https://qa.harness.io/#/"");","","",""
"Test 1","QPE-2615","CCM-T2286","2","Navigate to https://qa.harness.io/auth/","navigate","https://qa.harness.io/auth/","page","high","https://qa.harness.io/auth/","await page.goto(""https://qa.harness.io/auth/"");","","",""
"Test 1","QPE-2615","CCM-T2286","3","Navigate to https://qa.harness.io/auth/#/","navigate","https://qa.harness.io/auth/#/","page","high","https://qa.harness.io/auth/#/","await page.goto(""https://qa.harness.io/auth/#/"");","","",""
"Test 1","QPE-2615","CCM-T2286","4","Enter ""ccm_playwright@harnessioteam.testinator.com"" in email@work.com","fill","ccm_playwright@harnessioteam.testinator.com","locator(""#email"")","high","https://qa.harness.io/auth/#/signin","await page.locator(""#email"").fill(""ccm_playwright@harnessioteam.testinator.com"");","element: <input name=""email""> · role: textbox · name: ""email@work.com"" · type: ""email"" · placeholder: ""email@work.com"" · path: <form> > <div> > <input name=""email""> · inside: <div> ""Email"" (1 level up) · near: ""Email"" (label), ""[REDACTED]"" (label), ""[REDACTED]"" (semantic)","","locator(""#email"") | getByPlaceholder(""email@work.com"", { exact: true }) | locator(""input[name=\""email\""]"") | locator(""input"") | locator(""input"").nth(0)"
"Test 1","QPE-2615","CCM-T2286","5","Enter a protected value in [REDACTED]","fill","[REDACTED]","locator(""input[class~=\""_pwdInput_1mkr8_34\""]"")","low","https://qa.harness.io/auth/#/signin","await page.locator(""input[class~=\""_pwdInput_1mkr8_34\""]"").fill(""[REDACTED]"");","element: <input name=""[REDACTED]""> · role: textbox · name: ""[REDACTED]"" · type: ""[REDACTED]"" · class: ""_pwdInput_1mkr8_34"" · path: <form> > <div> > <div> > <div> > <input name=""[REDACTED]""> · near: ""Email"" (label), ""email@work.com"" (control), ""[REDACTED]"" (label)","No locator met the configured recommendation threshold; review the fallback or provide a manual locator.","locator(""input[class~=\""_pwdInput_1mkr8_34\""]"") | locator(""input"") | locator(""._pwdInput_1mkr8_34"") | locator(""input"").nth(0)"
"Test 1","QPE-2615","CCM-T2286","6","Navigate to https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ","navigate","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ","page","high","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ","await page.goto(""https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ"");","","",""
"Test 1","QPE-2615","CCM-T2286","7","Navigate to https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/main-dashboard","navigate","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/main-dashboard","page","high","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/main-dashboard","await page.goto(""https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/main-dashboard"");","","",""
"Test 1","QPE-2615","CCM-T2286","8","Navigate to https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/all?noscope=true","navigate","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/all?noscope=true","page","high","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/all?noscope=true","await page.goto(""https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/all?noscope=true"");","","",""
"Test 1","QPE-2615","CCM-T2286","9","Click <div>","click","","locator(""div"")","unresolved","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/all?noscope=true","await page.locator(""div"").click();","element: <div> · class: ""StyledProps--font StyledProps--main oYY21D StyledProps--flex StyledProps--flex-justifyContent-center"" · path: <div> > <span> > <span> > <span> > <span> > <div>","No locator met the configured recommendation threshold; review the fallback or provide a manual locator.","locator(""div"") | locator(""div[class~=\""StyledProps--font\""]"") | locator("".StyledProps--font.StyledProps--main.oYY21D.StyledProps--flex.StyledProps--flex-justifyContent-center"") | locator(""div"").nth(0)"
"Test 1","QPE-2615","CCM-T2286","10","Click Cloud & AI Cost Management","click","","getByRole(""link"", { name: ""Cloud & AI Cost Management"", exact: true })","high","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/all?noscope=true","await page.getByRole(""link"", { name: ""Cloud & AI Cost Management"", exact: true }).click();","element: <a id=""mode-card-link""> · role: link · name: ""Cloud & AI Cost Management"" · href: ""/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce?noscope=true"" · class: ""_eiaVo Qkpzbe"" · path: <div id=""mode-selector-panel""> > <div> > <div> > <span> > <span> > <a id=""mode-card-link"">","","getByRole(""link"", { name: ""Cloud & AI Cost Management"", exact: true }) | getByText(""Cloud & AI Cost Management"", { exact: true }) | locator(""#mode-card-link"") | locator(""a"") | locator(""a[class~=\""_eiaVo\""]"") | locator(""._eiaVo.Qkpzbe"") | locator(""a"").nth(0)"
"Test 1","QPE-2615","CCM-T2286","11","Click id=""mode-selector-panel""","click","","locator(""#mode-selector-panel"")","high","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/overview","await page.locator(""#mode-selector-panel"").click();","element: <div id=""mode-selector-panel""> · class: ""StyledProps--font StyledProps--main GVAp_b bp3-popover-dismiss"" · path: <div> > <div> > <div> > <div> > <div> > <div id=""mode-selector-panel"">","","locator(""#mode-selector-panel"") | locator(""div"") | locator(""div[class~=\""StyledProps--font\""]"") | locator("".StyledProps--font.StyledProps--main.GVAp_b.bp3-popover-dismiss"") | locator(""div"").nth(0)"
"Test 1","QPE-2615","CCM-T2286","12","Navigate to https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/overview","navigate","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/overview","page","high","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/overview","await page.goto(""https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/overview"");","","",""
"Test 1","QPE-2615","CCM-T2286","13","Click Cost Explorer","click","","getByRole(""link"", { name: ""Cost Explorer"", exact: true })","high","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/overview","await page.getByRole(""link"", { name: ""Cost Explorer"", exact: true }).click();","element: <a> · role: link · name: ""Cost Explorer"" · href: ""/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/cost-explorer"" · class: ""vYVFb8"" · path: <div> > <div id=""main-side-nav""> > <div> > <div> > <div> > <a> · near: ""Overview"" (semantic), ""Cost Categories"" (semantic), ""BI Dashboards"" (semantic)","","getByRole(""link"", { name: ""Cost Explorer"", exact: true }) | getByText(""Cost Explorer"", { exact: true }) | locator(""a"") | locator(""a[class~=\""vYVFb8\""]"") | locator("".vYVFb8"") | locator(""a"").nth(0)"
"Test 1","QPE-2615","CCM-T2286","14","Navigate to https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/cost-explorer","navigate","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/cost-explorer","page","high","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/cost-explorer","await page.goto(""https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/cost-explorer"");","","",""
"Test 1","QPE-2615","CCM-T2286","15","Navigate to https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/cost-explorer/ObCEjUd7QSavY0AVcp6Rxw","navigate","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/cost-explorer/ObCEjUd7QSavY0AVcp6Rxw","page","high","https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/cost-explorer/ObCEjUd7QSavY0AVcp6Rxw","await page.goto(""https://qa.harness.io/ng/account/JAvSzjfNQ6GPmm5PdhFWZQ/module/ce/cost-explorer/ObCEjUd7QSavY0AVcp6Rxw"");","","",""
